,name,multiverse_id,color_identity,text,flavor,power
1,Ancestor's Chosen,,['W'],"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.","""The will of all, by my hand done.""",4
2,Angel of Mercy,129465.0,['W'],"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",Every tear shed is a drop of immortality.,3
4,Angelic Blessing,129711.0,['W'],Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),Only the warrior who can admit mortal weakness will be bolstered by immortal strength.,
6,Angelic Chorus,129710.0,['W'],"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.",The harmony of the glorious is a dirge to the wicked.,
7,Angelic Wall,129671.0,['W'],"Defender (This creature can't attack.)
Flying","""The Ancestor protects us in ways we can't begin to comprehend.""
—Mystic elder",0
9,Aura of Silence,132127.0,['W'],"Artifact and enchantment spells your opponents cast cost {2} more to cast.
Sacrifice Aura of Silence: Destroy target artifact or enchantment.",Not all silences are easily broken.,
11,Aven Cloudchaser,,['W'],"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Cloudchaser enters the battlefield, destroy target enchantment.","""At the Reapportionment, Eagle begged to be human. The Ancestor granted half that prayer.""
—Nomad myth",2
12,Ballista Squad,129477.0,['W'],"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.",The perfect antidote for a tightly packed formation.,2
13,Bandage,132106.0,['W'],"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card.","Life is measured in inches. To a healer, every one of those inches is precious.",
14,Beacon of Immortality,130553.0,['W'],Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,The cave floods with light. A thousand rays shine forth and meld into one.,
15,Benalish Knight,136279.0,['W'],"Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)","""We called them 'armored lightning.'""
—Gerrard of the *Weatherlight*",2
17,"Cho-Manno, Revolutionary",130554.0,['W'],"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.","""Mercadia's masks can no longer hide the truth. Our day has come at last.""",2
18,Condemn,130528.0,['W'],Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now!""
—Alovnek, Boros guildmage",
19,Demystify,129524.0,['W'],Destroy target enchantment.,"""Illusion is a crutch for those with no grounding in reality.""
—Cho-Manno",
20,Field Marshal,135258.0,['W'],Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),He is the only one who sees the patterns in the overlapping maps and conflicting reports.,2
22,Ghost Warden,132105.0,['W'],{T}: Target creature gets +1/+1 until end of turn.,"""I thought of fate as an iron lattice, intricate but rigidly unchangeable. That was until some force bent fate's bars to spare my life.""
—Ilromov, traveling storyteller",1
23,Glorious Anthem,129572.0,['W'],Creatures you control get +1/+1.,"Once heard, the battle song of an angel becomes part of the listener forever.",
24,Hail of Arrows,132107.0,['W'],Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.,"""Do not let a single shaft loose until my word. And when I give that word, do not leave a single shaft in Eiganjo.""
—General Takeno",
26,Heart of Light,,['W'],"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Prevent all damage that would be dealt to and dealt by enchanted creature.","For those who reach enlightenment, violence is an unnecessary distraction.",
