,name,multiverse_id,colors,color_identity,supertypes,text,flavor,number,power,toughness,loyalty
1,Ancestor's Chosen,,['W'],['W'],,"First strike (This creature deals combat damage before creatures without first strike.)
When Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.","""The will of all, by my hand done.""",1★,4,4,
2,Angel of Mercy,129465.0,['W'],['W'],,"Flying
When Angel of Mercy enters the battlefield, you gain 3 life.",Every tear shed is a drop of immortality.,2,3,3,
4,Angelic Blessing,129711.0,['W'],['W'],,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),Only the warrior who can admit mortal weakness will be bolstered by immortal strength.,3,,,
6,Angelic Chorus,129710.0,['W'],['W'],,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.",The harmony of the glorious is a dirge to the wicked.,4,,,
7,Angelic Wall,129671.0,['W'],['W'],,"Defender (This creature can't attack.)
Flying","""The Ancestor protects us in ways we can't begin to comprehend.""
—Mystic elder",5,0,4,
9,Aura of Silence,132127.0,['W'],['W'],,"Artifact and enchantment spells your opponents cast cost {2} more to cast.
Sacrifice Aura of Silence: Destroy target artifact or enchantment.",Not all silences are easily broken.,6,,,
11,Aven Cloudchaser,,['W'],['W'],,"Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Cloudchaser enters the battlefield, destroy target enchantment.","""At the Reapportionment, Eagle begged to be human. The Ancestor granted half that prayer.""
—Nomad myth",7★,2,2,
12,Ballista Squad,129477.0,['W'],['W'],,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.",The perfect antidote for a tightly packed formation.,8,2,2,
13,Bandage,132106.0,['W'],['W'],,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card.","Life is measured in inches. To a healer, every one of those inches is precious.",9,,,
14,Beacon of Immortality,130553.0,['W'],['W'],,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,The cave floods with light. A thousand rays shine forth and meld into one.,10,,,
15,Benalish Knight,136279.0,['W'],['W'],,"Flash (You may cast this spell any time you could cast an instant.)
First strike (This creature deals combat damage before creatures without first strike.)","""We called them 'armored lightning.'""
—Gerrard of the *Weatherlight*",11,2,2,
17,"Cho-Manno, Revolutionary",130554.0,['W'],['W'],['Legendary'],"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.","""Mercadia's masks can no longer hide the truth. Our day has come at last.""",12,2,2,
18,Condemn,130528.0,['W'],['W'],,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now!""
—Alovnek, Boros guildmage",13,,,
19,Demystify,129524.0,['W'],['W'],,Destroy target enchantment.,"""Illusion is a crutch for those with no grounding in reality.""
—Cho-Manno",14,,,
20,Field Marshal,135258.0,['W'],['W'],,Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.),He is the only one who sees the patterns in the overlapping maps and conflicting reports.,15,2,2,
22,Ghost Warden,132105.0,['W'],['W'],,{T}: Target creature gets +1/+1 until end of turn.,"""I thought of fate as an iron lattice, intricate but rigidly unchangeable. That was until some force bent fate's bars to spare my life.""
—Ilromov, traveling storyteller",16,1,1,
23,Glorious Anthem,129572.0,['W'],['W'],,Creatures you control get +1/+1.,"Once heard, the battle song of an angel becomes part of the listener forever.",17,,,
24,Hail of Arrows,132107.0,['W'],['W'],,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.,"""Do not let a single shaft loose until my word. And when I give that word, do not leave a single shaft in Eiganjo.""
—General Takeno",18,,,
26,Heart of Light,,['W'],['W'],,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Prevent all damage that would be dealt to and dealt by enchanted creature.","For those who reach enlightenment, violence is an unnecessary distraction.",19★,,,
27,High Ground,132145.0,['W'],['W'],,Each creature you control can block an additional creature each combat.,"In war, as in society, position is everything.",20,,,
28,Holy Day,129593.0,['W'],['W'],,Prevent all combat damage that would be dealt this turn.,"""Today there is feasting and peace across our land, but the war has not ended. Tuck away your bloodlust. You'll need it tomorrow.""
—Karrim, Samite healer",21,,,
30,Holy Strength,,['W'],['W'],,"Enchant creature
Enchanted creature gets +1/+2.","""May angels fly at your back. May your blade cleave the darkness.""
—War blessing of Serra",22★,,,
31,Honor Guard,129595.0,['W'],['W'],,{W}: Honor Guard gets +0/+1 until end of turn.,The strength of one. The courage of ten.,23,1,1,
32,Icatian Priest,132123.0,['W'],['W'],,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,"Grelden knelt and felt the cool, dry hand of the priest on his brow. Hours later, when his wits returned, he was covered in his enemies' blood on the field of victory.",24,1,1,
33,Kjeldoran Royal Guard,130551.0,['W'],['W'],,{T}: All combat damage that would be dealt to you by unblocked creatures this turn is dealt to Kjeldoran Royal Guard instead.,"Upon the frozen tundra stand the Kjeldoran Royal Guard, pikes raised, with the king's oath upon their lips.",25,2,5,
34,Loxodon Mystic,129638.0,['W'],['W'],,"{W}, {T}: Tap target creature.",Elder mystics take their vow of silence so seriously that they impose it on any who enter their presence.,26,3,3,
35,Loyal Sentry,129798.0,['W'],['W'],,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.","""My cause is simple: To stop you, at any cost, from ever seeing the inside of this keep.""",27,1,1,
36,Luminesce,129912.0,['W'],['W'],,Prevent all damage that black sources and red sources would deal this turn.,"""The White Shield is not the burnished metal you lash to your forearm but the conviction that burns in your chest.""
—Lucilde Fiksdotter, leader of the Order of the White Shield",28,,,
37,Mobilization,129716.0,['W'],['W'],,"Soldier creatures have vigilance.
{2}{W}: Create a 1/1 white Soldier creature token.","Wars are won with strength, valor, and numbers—especially numbers.",29,,,
39,Nomad Mythmaker,130547.0,['W'],['W'],,"{W}, {T}: Put target Aura card from a graveyard onto the battlefield under your control attached to a creature you control.","On the wild steppes, history vanishes in the dust. Only the mythmakers remain to say what was, and is, and will be.",30,2,2,
41,Pacifism,129667.0,['W'],['W'],,"Enchant creature
Enchanted creature can't attack or block.","For the first time in his life, Grakk felt a little warm and fuzzy inside.",31,,,
44,Paladin en-Vec,,['W'],['W'],,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)","""I do not consider myself a hero. I know only what the Vec teach: justice must always be served and corruption must always be opposed.""",32★,2,2,
46,Pariah,,['W'],['W'],,"Enchant creature
All damage that would be dealt to you is dealt to enchanted creature instead.","""Why would I consider penance for my actions when I have so many subjects willing to do it for me?""
—Lord Konda",33★,,,
47,Reviving Dose,132089.0,['W'],['W'],,"You gain 3 life.
Draw a card.",Samite healers never mix their pungent elixir with sweetener or tea. The threat of a second dose is enough to get most warriors back on their feet.,34,,,
48,Reya Dawnbringer,106384.0,['W'],['W'],['Legendary'],"Flying
At the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.","""You have not died until I consent.""",35,4,6,
50,Righteousness,130552.0,['W'],['W'],,Target blocking creature gets +7/+7 until end of turn.,Sometimes the greatest strength is the strength of conviction.,36,,,
51,Rule of Law,136291.0,['W'],['W'],,Each player can't cast more than one spell each turn.,"Appointed by the kha himself, members of the tribunal ensure all disputes are settled with the utmost fairness.",37,,,
52,Samite Healer,132101.0,['W'],['W'],,{T}: Prevent the next 1 damage that would be dealt to any target this turn.,Healers ultimately acquire the divine gifts of spiritual and physical wholeness. The most devout are also granted the ability to pass physical wholeness on to others.,38,1,1,
53,Serra Angel,129726.0,['W'],['W'],,"Flying, vigilance",Her sword sings more beautifully than any choir.,39,4,4,
56,Serra's Embrace,,['W'],['W'],,"Enchant creature
Enchanted creature gets +2/+2 and has flying and vigilance.",The touch of Serra's angels bears hopes aloft and empowers noble causes.,40★,,,
57,Skyhunter Patrol,129735.0,['W'],['W'],,"Flying, first strike (This creature can't be blocked except by creatures with flying or reach, and it deals combat damage before creatures without first strike.)","""We leonin have come to rule the plains by taking to the skies.""
—Raksha Golden Cub",41,2,3,
59,Skyhunter Prowler,132102.0,['W'],['W'],,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)","As tireless as her mount, a skyhunter's vigil is measured in days.",42,1,3,
62,Skyhunter Skirmisher,,['W'],['W'],,"Flying, double strike","""Take the deadly grace and strength of the leonin, combined with a pteron mount capable of rending a foe in two and armed with notched steel. That is a skyhunter—and why Taj-Nar has never fallen.""
—Raksha Golden Cub",43★,1,1,
63,Soul Warden,129740.0,['W'],['W'],,"Whenever another creature enters the battlefield, you gain 1 life.","Count carefully the souls and see that none are lost.
—Vec teaching",44,1,1,
65,Spirit Link,,['W'],['W'],,"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Whenever enchanted creature deals damage, you gain that much life.","""We are all inextricably linked, souls woven in tapestry.""",45★,,,
66,Spirit Weaver,130999.0,['W'],['W'],,{2}: Target green or blue creature gets +0/+1 until end of turn.,"""Let my hope be your shield.""",46,2,1,
67,Starlight Invoker,130385.0,['W'],['W'],,{7}{W}: You gain 5 life.,"""The constellations form a tapestry of light that traces my people's broken history. Day and night, I feel their glittering presence calling me to weave the pattern whole.""",47,1,3,
68,Steadfast Guard,132111.0,['W'],['W'],,Vigilance (Attacking doesn't cause this creature to tap.),"""Best leave your tongue in its yap-hole, Mercadian scum, for your silvered words and golden bribes do not sparkle so brightly outside your city.""",48,2,2,
